title,category,address,Postal Code,latitude,longitude
Anytime Fitness Kovan,Gym,"JForte Sportainment Centre, 50 Hougang Ave 1, Level 2, Singapore 538885",538885,1.3603125,103.8880625
Fitness Factory,Personal trainer,"82 Boat Quay, #02-01, Singapore 049870",49870,1.2884375,103.8493125
Clementi ActiveSG Gym,Gym,"518 Clementi Ave 3, Singapore 129907",129907,1.3109375,103.7650625
Virgin Active Marina One,Gym,"7 Straits View, #02-01 Marina One East Tower, Singapore 018936",18936,1.2779375,103.8528125
Anytime Fitness,Gym,"17 Cantonment Rd, Singapore 089740",89740,1.2791875,103.8401875
F45 Training Rochor,Gym,"#02-02, The Concourse, 300 Beach Rd, Singapore 199555",199555,1.3010625,103.8626875
Anytime Fitness MacPherson,Gym,"400 Paya Lebar Way, #03-05/06, MacPherson Community Club, Singapore 379131",379131,1.3233125,103.8846875
CrossFit Morpheus,Gym,"812 Upper Bukit Timah Rd, Singapore 678146",678146,1.3733125,103.7630625
Fitness First - Bugis Junction,Gym,"200 Victoria Street #04-02 Bugis Junction, Singapore 188021",188021,1.2991875,103.8553125
Bishan ActiveSG Gym,Gym,"5 Bishan Street 14, Singapore 579783",579783,1.3554375,103.8514375
The Strength Yard,Gym,"369 Joo Chiat Rd, Singapore 427614",427614,1.3081875,103.9034375
Anytime Fitness Jurong East Central,Gym,"134 Jurong Gateway Rd, #01-311, Singapore 600134",600134,1.3341875,103.7389375
Anytime Fitness,Gym,"10 Anson Rd, #03-41 International Plaza, Singapore 079903",79903,1.2760625,103.8459375
Freedom Gym,Fitness center,"5 Shenton Way, #02-01 UIC Building, Singapore 068808",68808,1.2778125,103.8496875
Extreme Fitness @ The Chevrons,Gym,"48 Boon Lay Way, #01-06 The Chevrons, Singapore 609961",609961,1.3310625,103.7483125
Aileron Wellness,Gym,"52 W Coast Ferry Rd, Republic Of Singapore Yacht Club, Singapore 126887",126887,1.2929375,103.7634375
VF Fitness,Muay Thai boxing gym,"298 Jln Besar, Singapore 208959",208959,1.3110625,103.8593125
Gravity,Fitness center,"CapitaGreen #38-01, 138 Market St, Singapore 048946",48946,1.2818125,103.8500625
PURE Fitness Asia Square,Gym,"Level 6, Asia Square Tower 1, 8 Marina View, Singapore 018960",18960,1.2790625,103.8510625
Fitness First - Paragon,Gym,"290 Orchard Rd, #08-13 Paragon, Singapore 238859",238859,1.3034375,103.8353125
Anytime Fitness Ang Mo Kio,Gym,"4190 Ang Mo Kio Ave 6, #01-02 Broadway Plaza, Singapore 569841",569841,1.3719375,103.8459375
ActiveSG Gym at Ang Mo Kio Community Centre,Gym,"795 Ang Mo Kio Ave 1, Singapore 569976",569976,1.3669375,103.8404375
Level,Personal trainer,"137 Telok Ayer St, #01-03, Singapore 068602",68602,1.2808125,103.8480625
CrossFit Urban Edge,Gym,"12 Bukit Pasoh Rd, Singapore 089826",89826,1.2789375,103.8409375
GRITYARD (Outram),Gym,"2 College Rd, Singapore 169850",169850,1.2824375,103.8356875
Strength Avenue,Gym,"57B Boat Quay, Level 3, Singapore 049846",49846,1.2873125,103.8491875
Genesis Gym,Personal trainer,"Katong Shopping Centre, Annexe Block #04-01, 865 Mountbatten Rd, Singapore 437844",437844,1.3044375,103.9015625
PrimeFit Personal Training Gym,Personal trainer,"55 Market St, #B1-01, Singapore 048941",48941,1.2844375,103.8504375
Fitness First @ Junction 10,Fitness center,"1 Woodlands Rd, #02-01, Singapore 677899",677899,1.3809375,103.7599375
Anytime Fitness,Gym,"221 Boon Lay Pl, #03-106, Singapore 640221",640221,1.3460625,103.7120625
Anytime Fitness Hougang Central,Gym,"1187 Upper Serangoon Road Hougang Central 2 B1, #01 The Midtown, Singapore 533971",533971,1.3704375,103.8953125
IGYM@SERANGOON,Gym,"756 Upper Serangoon Rd, #02-02 Upper Serangoon Shopping Centre, Singapore 534626",534626,1.3535625,103.8788125
Anytime Fitness Tampines West CC,Gym,"5 Tampines Avenue 3, #02-03, Tampines West Community Club, Singapore 529705",529705,1.3489375,103.9358125
Contours Express Women's Gym Jurong East,Gym,"135 Jurong Gateway Rd, #04-319, Singapore 600135",600135,1.3336875,103.7390625
Juggernaut Fight Club,Martial arts school,"275 Beach Rd, #01-01, Singapore 199549",199549,1.3008125,103.8603125
GYMMBOXX Ci Yuan,Gym,"51 Hougang Ave 9, Ci Yuan Community Centre, Singapore 538776",538776,1.3751875,103.8829375
Box Office Fitness (Singapore),Boxing gym,"35 N Canal Rd, #03-01, Singapore 059291",59291,1.2869375,103.8471875
Enabling Village ActiveSG Gym,Gym,"20 Lengkok Bahru, #01-05 Enabling Village, Singapore 159053",159053,1.2871875,103.8148125
Dynamic Fitness Gym,Gym,"48 Yio Chu Kang Rd, Singapore 545559",545559,1.3570625,103.8758125
Gforce Fitness,Gym,"5 Toh Tuck Link, #2-00, Singapore 596224",596224,1.3305625,103.7570625
GoFit Geylang,Gym,"22 Lor 18 Geylang, Singapore 398804",398804,1.3118125,103.8804375
UFC Gym Singapore | Fitness Franchise | Martial Arts | Gym,Gym,"1 Raffles Link, B1-47, Singapore 039393",39393,1.2918125,103.8558125
Singapore Calisthenics Academy,Gym,"11 Collyer Quay, LEVEL #20-00, Singapore 049317",49317,1.2835625,103.8523125
F45 Training Macpherson West,Gym,"181, 185 MacPherson Rd, Singapore 348544",348544,1.3303125,103.8751875
The Jungle MMA,Muay Thai boxing gym,"35 Boat Quay, Singapore 049824",49824,1.2863125,103.8496875
Platinum Fitness Tanglin – #1 Premium Members Gym in Singapore,Gym,"163 Tanglin Rd, #02-118/119/120 Tanglin Mall, Singapore 247933",247933,1.3050625,103.8238125
Anytime Fitness,Gym,"638 Jurong West Street 61, #03-01 Pioneer Mall, Singapore 640638",640638,1.3416875,103.6970625
GYMMBOXX Bishan,Fitness center,"51 Bishan Street 13, #04-01/02, Bishan Community Club, Singapore 579799",579799,1.3499375,103.8508125
Core Collective Anson,Wellness center,"79 Anson Rd, #21-01, #22-01, Singapore 079906",79906,1.2743125,103.8456875
TFX Fitness - Funan,Gym,"107 North Bridge Rd, #04-18, Singapore 179105",179105,1.2911875,103.8501875
Anytime Fitness Jurong Point,Gym,"1 Jurong West Central 2 JP1#03-24/25, Singapore 648886",648886,1.3400625,103.7060625
Anytime Fitness NEX,Gym,"23 Serangoon Central, #04-73/74/75 nex Serangoon Central Central Singapore, Singapore 556083",556083,1.3509375,103.8724375
Fitness First Paya Lebar,Gym,"10 Eunos Road 8 #02-104 Singapore Post Centre, Singapore 408600",408600,1.3189375,103.8948125
Fenix Fitness,Gym,"30 Raffles Pl, #22F, Singapore 048622",48622,1.2840625,103.8520625
Athlete Lab Singapore,Gym,"71 Amoy St, Singapore 069890",69890,1.2803125,103.8465625
Anytime Fitness Nanyang CC,Gym,"60 Jurong West Street 91, #01-08 Nanyang Community Club, Singapore 649040",649040,1.3424375,103.6925625
BFT Outram,Gym,"331 New Bridge Rd, #01-04, Singapore 088764",88764,1.2800625,103.8403125
