"","BUILDINGNA","BLOCK","ROAD","POSTALCODE","XCOORD","YCOORD"
"182","BUTTERFLY AVENUE PLAYGROUND","NIL","NIL","NIL","32900.5467479123","35184.5283044726"
"183","NIL","NIL","BUTTERFLY AVENUE","NIL","32907.432800014314","35183.48719993583"
"184","JURONG CENTRAL PARK","NIL","NIL","NIL","14030.8638923531","35556.4900617883"
"185","CARMICHAEL ROAD PLAYGROUND","NIL","NIL","NIL","31314.2974550025","36091.4414442141"
"186","NIL","NIL","CARMICHAEL ROAD","NIL","31294.44460004159","36079.80829994795"
"187","BINCHANG RISE PLAYGROUND","NIL","NIL","NIL","29145.9067822857","36757.8209512279"
"188","MARYMOUNT TERRACE PLAYGROUND","NIL","NIL","NIL","28779.1006372921","36822.9885841119"
"189","NIL","NIL","UPPER THOMSON ROAD","NIL","28159.358799982205","36874.259399959185"
"190","TAMAN PERMATA PARK","NIL","NIL","NIL","28183.733584864","36902.4240052619"
"191","NIL","NIL","JALAN PEMIMPIN","NIL","28778.60530000911","36879.3909999593"
"192","NIL","NIL","MARYMOUNT TERRACE","NIL","28774.13940003091","36886.313299959475"
"193","CLOVER WAY PLAYGROUND","NIL","NIL","NIL","29417.7407643012","36914.2061880682"
"194","BISHAN NEW TOWN","NIL","NIL","NIL","28964.4094128262","37438.5665664488"
"195","CHEMPAKA AVENUE PLAYGROUND","NIL","NIL","NIL","32707.2160196694","34897.4263938"
"196","OASIS @ MULBERRY","83","MULBERRY AVENUE","348454","33024.5138444","34915.7731816"
"197","OASIS @ MULBERRY","78","CHEMPAKA AVENUE","349690","33016.4004509","34940.510115"
"198","OASIS @ MULBERRY","81","MULBERRY AVENUE","348453","33018.5041968","34913.9413632"
"199","OASIS @ MULBERRY","75","CHEMPAKA AVENUE","349678","33002.6923837","34979.9232068"
"200","NIL","NIL","HOOPER ROAD","NIL","29110.335199973808","32758.87689990147"
"201","GENTLE DRIVE PLAYGROUND","NIL","NIL","NIL","28820.390988671","33625.1249028888"
"202","YUNNAN PARK","NIL","NIL","NIL","12374.7508867629","35522.0606837962"
"203","NIL","NIL","SERENADE WALK","NIL","28153.213700014174","40184.69250000609"
"204","SERENADE WALK PLAYGROUND","NIL","NIL","NIL","28147.5066293698","40192.8253674953"
"205","TEACHER'S ESTATE PLAYGROUND","NIL","NIL","NIL","27542.3178376641","40441.0213898141"
"206","THOMSON GREEN PLAYGROUND","NIL","NIL","NIL","27919.96043495","40074.4881632938"
"207","THOMSON WALK PLAYGROUND","NIL","NIL","NIL","27908.0549407661","39771.821039729"
"208","NIL","NIL","THOMSON WALK","NIL","27915.064600034955","39757.91510000017"
"209","JALAN MAS KUNING PLAYGROUND","NIL","NIL","NIL","20240.2725527373","32239.6094119624"
"210","NIL","NIL","JALAN MAS PUTEH","NIL","20061.428300034677","32359.66199989599"
"211","JALAN MAS PUTEH PLAYGROUND","NIL","NIL","NIL","20064.3433623203","32364.935204576"
"212","TAMAN MAS MERAH PLAYGROUND","NIL","NIL","NIL","20366.3030323199","32338.7093844555"
"213","SPRINGLEAF GARDEN PLAYGROUND","NIL","NIL","NIL","26777.2240172223","42214.3863228037"
"214","SPRINGSIDE PARK","NIL","NIL","NIL","26584.9745634129","43076.4764608583"
"215","THONG SOON GREEN PLAYGROUND","NIL","NIL","NIL","26330.7500960992","42433.2756591882"
"216","KALLANG RIVERSIDE PARK","NIL","NIL","NIL","31863.705888034","32094.8832581341"
"217","KAMPONG JAVA PARK","NIL","NIL","NIL","29359.3006508702","32576.7489632036"
"218","KING GEORGE?S HEIGHTS","818A","KING GEORGE'S AVENUE","201818","30905.7404556","32151.8322111"
"219","NIL","NIL","LEMBU ROAD","NIL","30389.134999966165","32463.96899989742"
"220","LEMBU ROAD OPEN SPACE","NIL","NIL","NIL","30388.3152122853","32450.5081897554"
"221","null","113","SYED ALWI ROAD","207681","30416.5134352","32445.6811521"
"222","NIL","NIL","BABOO LANE","NIL","30392.202899948585","32303.025599895453"
"223","ASIA STAR HOTEL","44","ROWELL ROAD","207995","30382.3203296","32313.2440131"
"224","LITTLE INDIA CONSERVATION AREA","42","ROWELL ROAD","207993","30377.8870386","32319.5224102"
"225","NIL","NIL","SOMME ROAD","NIL","30790.696799960435","32640.210899899623"
"226","SOMME ROAD PLAYGROUND","NIL","NIL","NIL","30764.8538207769","32646.4635425401"
"227","SINGAPORE BOTANIC GARDENS","NIL","NIL","NIL","26008.6704185429","32940.6250211661"
"228","NIL","NIL","LOWER RING ROAD","NIL","26131.690700037707","32456.49299989777"
"229","null","1D","CLUNY ROAD","259600","26093.7180316","33353.1427873"
"230","SINGAPORE ENVIRONMENT COUNCIL","1E","CLUNY ROAD","259601","26076.5190065","33410.0846133"
"231","SINGAPORE BOTANIC GARDENS (JACOB BALLAS CHILDREN'S GARDEN)","1H","CLUNY ROAD","259604","26407.656015","33771.7874727"
"232","null","224","BISHAN STREET 23","570224","29600.3357409","37890.8086399"
"233","BISHAN - ANG MO KIO PARK","NIL","NIL","NIL","29054.0344836484","38323.9155464671"
"234","null","237","BISHAN STREET 22","570237","29539.3140026","37943.2734376"
"235","KATONG PARK","NIL","NIL","NIL","33928.2416314413","31030.9785491945"
"236","TANJONG KATONG MRT STATION","2","AMBER ROAD","439846","35128.2119916","31297.7308216"
"237","null","434","TANJONG KATONG ROAD","437145","35077.4446829","31370.9870908"
"238","null","436","TANJONG KATONG ROAD","437146","35069.1464428","31360.5909767"
"239","null","432","TANJONG KATONG ROAD","437144","35076.7817233","31382.4274201"
"240","null","438","TANJONG KATONG ROAD","437148","35071.1709774","31334.4604145"
"241","null","430","TANJONG KATONG ROAD","437143","35086.4490751","31390.7482704"
"242","null","428","TANJONG KATONG ROAD","437142","35074.257888","31404.7616204"
"243","null","426","TANJONG KATONG ROAD","437141","35073.9945868","31410.8178808"
