ID,school_name,road_name,postal_code,facilities,Longitude,Latitude
207,Sports Facility 4,Anchorvale Road,-,Swimming Complex/Sports Hall/Gym/Hockey Pitch,103.8866726,1.395879031
208,Sports Facility 5,Yio Chu Kang Road,-,Swimming Complex/ Stadium,103.8748241,1.356319183
209,Sports Facility 6,Lorong 6 Toa Payoh,-,Swimming Complex/Sports Hall/Stadium/Gym,103.8519284,1.330353526
210,Sports Facility 7,Woodlands Street 12,-,Swimming Complex/Sports Hall/Stadium/Gym,103.7801627,1.434714993
211,Sports Facility 8,St Wilfred Road,-,Field/Tennis Centre,103.8615816,1.325652869
212,Sports Facility 9,Ang Mo Kio Avenue 9,-,Swimming Complex/Sports Hall/Stadium/Tennis Centre/Squash Centre/Gym,103.8465385,1.38264644
213,Sports Facility 10,Yishun Avenue 1,-,Sports Hall/Stadium/Gym,103.8320484,1.412440466
214,Sports Facility 11,Yishun Avenue 3,-,Swimming Complex,103.8340379,1.423613282
215,Sports Facility 12,Evans Road,-,Sports Hall/Stadium/Swimming Complex/Tennis Centre/Squash Centre/Hockey Pitch,103.8194382,1.319529379
216,Sports Facility 13,Tiong Bahru Road,-,Swimming Complex/Sports Hall/Gym/Hockey Pitch,103.8204095,1.289525445
217,Sports Facility 14,Lengkok Bahru,-,Gym,103.8147357,1.28683217
218,Sports Facility 15,Aljunied Crescent Avenue 1,-,Swimming Complex,103.8880527,1.32099792
219,Sports Facility 16,Lorong 12 Geylang,-,Field,103.8779807,1.310355378
220,Sports Facility 17,Rutland Road,-,Field/Tennis Centre,103.8495019,1.310975453
221,Sports Facility 18,Tyrwhitt Road,-,Swimming Complex/Stadium,103.8602675,1.310046772
222,Sports Facility 19,Jurong East Street 31,-,Swimming Complex/Sports Hall/Stadium/Gym/Gateball & Petanque Courts,103.7293951,1.346683115
223,Sports Facility 20,Bedok North Street 1,-,Swimming Complex/Sports Hall/Tennis Centre/Gym,103.9320701,1.326950494
224,Sports Facility 21,Hougang Avenue 4,-,Swimming Complex/Sports Hall/Stadium/Gym,103.8869532,1.369593435
225,Sports Facility 22,West Coast Walk,-,Stadium,103.7629683,1.309710346
226,Sports Facility 23,Clementi Avenue 3,-,Swimming Complex/Sports Hall/Gym,103.7654816,1.310487352
227,Sports Facility 24,Jurong West Street 93,-,Swimming Complex/Sports Hall/Stadium/Tennis Centre/Gym,103.6944434,1.338308623
228,Sports Facility 25,Geylang Bahru Lane,-,Swimming Complex,103.8724228,1.322649227
229,Sports Facility 26,Stadium Road,-,Practice Track/Field/Tennis Centre/Squash Centre/Netball Centre/Lawn Bowl,103.8785489,1.305787635
230,Sports Facility 27,Wilkinson Road,-,Swimming Complex,103.8861053,1.301854101
231,Sports Facility 28,Ang Mo Kio Avenue 1,-,Swimming Complex,103.8496867,1.363146319
232,Sports Facility 29,Bishan Street 14,-,Swimming Complex/Sports Hall/Stadium/Gym,103.8509766,1.354593925
233,Sports Facility 30,Bukit Batok Street 22,-,Swimming Complex,103.7481066,1.344534225
234,Sports Facility 31,Bukit Batok West Avenue 5,-,Sports Hall/Stadium/Gym,103.7529996,1.358587628
235,Sports Facility 32,Bedok North Street 2,-,Stadium,103.9380763,1.326170592
236,Sports Facility 33,Burghley Drive,-,Squash Centre/Tennis Centre,103.8605426,1.359302194
237,Sports Facility 34,Choa Chu Kang Street 53,-,Swimming Complex/Sports Hall/Stadium/Futsal Court/Tennis Centre/Gym,103.7486335,1.391030235
238,Sports Facility 35,Fourth Chin Bee Road,-,Stadium,103.7193734,1.332797402
